What is the weather?|weather
What's the weather right now|weather
Hey what's the weather?|weather
What's the & weather gonna be next Tuesday?|weather
What's the weather here?|weather
What's the temperature outside right now?|weather
What is the temperature?|weather
What is the temperature outside?|weather
What temperature is it right now?|weather
How many degrees is it right now?|weather
What's the weather look like right now?|weather
What's the weather forecast looking like?|weather
What's my name?|user-info
Who am I?|user-info
Who are you speaking with?|user-info
Say my name|user-info
What is my name?|user-info
Who's the boss?|user-info
Who is the boss?|user-info
